iter	Passed	Remaining
0	120	120062
1	120	60270
2	121	40350
3	122	30384
4	122	24410
5	123	20413
6	123	17562
7	124	15415
8	124	13740
9	125	12400
10	125	11304
11	126	10390
12	126	9624
13	127	8965
14	127	8395
15	128	7898
16	128	7455
17	129	7061
18	129	6709
19	130	6390
20	130	6101
21	131	5839
22	131	5602
23	132	5384
24	132	5184
25	133	5000
26	133	4828
27	134	4671
28	135	4523
29	135	4383
30	136	4256
31	136	4136
32	137	4022
33	137	3913
34	138	3812
35	138	3716
36	139	3625
37	139	3538
38	140	3456
39	140	3377
40	141	3303
41	141	3232
42	142	3165
43	142	3100
44	143	3038
45	143	2979
46	144	2921
47	144	2867
48	145	2817
49	145	2768
50	146	2720
51	146	2675
52	147	2630
53	147	2588
54	148	2548
55	148	2508
56	149	2470
57	149	2433
58	150	2396
59	150	2364
60	151	2330
61	151	2298
62	152	2266
63	152	2235
64	153	2205
65	153	2177
66	154	2149
67	154	2122
68	155	2095
69	155	2069
70	156	2044
71	157	2027
72	157	2006
73	158	1983
74	159	1961
75	159	1938
76	159	1917
77	160	1895
78	160	1875
79	161	1855
80	161	1836
81	162	1816
82	162	1796
83	163	1779
84	163	1762
85	164	1745
86	164	1730
87	165	1714
88	165	1698
89	166	1683
90	166	1668
91	167	1653
92	168	1638
93	168	1624
94	168	1609
95	169	1595
96	169	1582
97	170	1568
98	170	1555
99	171	1542
100	171	1529
101	172	1517
102	172	1504
103	173	1492
104	173	1480
105	174	1470
106	174	1458
107	175	1447
108	175	1438
109	176	1428
110	177	1417
111	177	1407
112	178	1397
113	178	1387
114	179	1377
115	179	1368
116	180	1358
117	180	1351
118	181	1342
119	181	1333
120	182	1325
121	182	1316
122	183	1308
123	183	1299
124	184	1291
125	185	1283
126	185	1274
127	185	1266
128	186	1258
129	186	1250
130	187	1242
131	187	1235
132	188	1228
133	188	1221
134	189	1214
135	189	1207
136	190	1199
137	190	1192
138	191	1186
139	191	1179
140	192	1172
141	192	1164
142	193	1157
143	193	1151
144	194	1145
145	194	1139
146	195	1133
147	195	1126
148	196	1120
149	196	1114
150	197	1108
151	197	1102
152	198	1096
153	198	1091
154	199	1085
155	199	1079
156	200	1074
157	200	1069
158	201	1064
159	201	1058
160	202	1053
161	202	1048
162	203	1042
163	203	1038
164	204	1033
165	204	1029
166	205	1024
167	205	1020
168	206	1015
169	207	1011
170	207	1006
171	208	1002
172	208	997
173	209	992
174	209	988
175	210	984
176	210	979
177	211	974
178	211	970
179	212	966
180	212	961
181	213	957
182	213	954
183	214	949
184	214	945
185	215	941
186	215	937
187	216	933
188	216	929
189	216	925
190	217	921
191	217	917
192	218	913
193	218	909
194	219	906
195	220	902
196	220	898
197	221	895
198	221	891
199	221	887
200	222	884
201	222	880
202	223	877
203	223	873
204	224	870
205	224	866
206	225	864
207	226	862
208	226	858
209	227	855
210	227	852
211	228	848
212	228	845
213	229	842
214	229	838
215	230	835
216	230	832
217	231	829
218	231	826
219	232	823
220	232	820
221	233	817
222	233	814
223	234	811
224	234	808
225	235	806
226	235	803
227	236	800
228	236	797
229	237	794
230	237	791
231	238	788
232	238	786
233	239	783
234	239	781
235	240	778
236	240	775
237	241	772
238	241	769
239	242	767
240	242	764
241	243	761
242	243	759
243	244	756
244	244	754
245	245	752
246	245	749
247	246	747
248	246	744
249	247	742
250	247	739
251	248	737
252	248	734
253	249	731
254	249	729
255	250	726
256	250	725
257	251	723
258	252	721
259	252	719
260	253	717
261	253	714
262	254	712
263	254	709
264	255	707
265	255	705
266	256	702
267	256	700
268	257	698
269	257	696
270	258	694
271	258	692
272	259	690
273	259	688
274	260	686
275	260	684
276	261	682
277	261	679
278	262	677
279	262	675
280	263	673
281	263	671
282	264	670
283	264	668
284	265	666
285	265	664
286	266	661
287	266	659
288	267	657
289	267	655
290	268	653
291	268	652
292	269	650
293	270	648
294	270	646
295	271	644
296	271	642
297	272	640
298	272	638
299	273	637
300	273	635
301	273	633
302	274	631
303	274	629
304	275	627
305	275	625
306	276	623
307	277	622
308	277	620
309	278	619
310	278	617
311	279	615
312	279	613
313	280	611
314	280	610
315	281	608
316	281	606
317	282	605
318	282	603
319	283	601
320	283	600
321	284	598
322	284	597
323	285	595
324	286	594
325	286	592
326	287	590
327	287	589
328	288	587
329	288	586
330	289	584
331	289	583
332	290	581
333	290	580
334	291	578
335	291	577
336	292	575
337	292	573
338	293	572
339	294	570
340	294	569
341	295	567
342	295	566
343	296	564
344	296	563
345	297	561
346	297	560
347	298	558
348	298	557
349	299	555
350	299	554
351	300	552
352	300	551
353	301	550
354	301	548
355	302	547
356	302	545
357	303	544
358	304	543
359	304	541
360	305	540
361	305	538
362	306	537
363	306	535
364	307	534
365	307	532
366	308	531
367	308	530
368	309	528
369	309	527
370	310	525
371	310	524
372	311	522
373	311	521
374	312	520
375	312	519
376	313	517
377	313	516
378	314	515
379	314	513
380	315	512
381	316	511
382	316	509
383	317	508
384	317	507
385	317	505
386	318	504
387	318	503
388	319	501
389	319	500
390	320	499
391	321	497
392	321	496
393	321	495
394	322	493
395	322	492
396	323	491
397	323	489
398	324	488
399	324	487
400	325	486
401	325	484
402	326	483
403	326	482
404	327	480
405	327	479
406	328	478
407	328	477
408	329	475
409	329	474
410	330	473
411	330	471
412	331	470
413	331	469
414	332	468
415	332	466
416	333	465
417	333	464
418	334	463
419	334	462
420	335	460
421	335	459
422	336	458
423	336	457
424	336	455
425	337	454
426	337	453
427	338	452
428	338	451
429	339	449
430	339	448
431	340	447
432	340	446
433	341	445
434	341	444
435	342	442
436	342	441
437	343	440
438	343	439
439	344	438
440	345	437
441	345	436
442	346	435
443	346	434
444	347	432
445	347	431
446	348	430
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	424
453	352	423
454	352	422
455	353	421
456	353	420
457	354	419
458	354	418
459	355	417
460	355	416
461	356	415
462	357	414
463	357	413
464	358	411
465	358	410
466	359	409
467	359	408
468	359	407
469	360	406
470	361	405
471	361	404
472	361	403
473	362	402
474	363	401
475	364	400
476	364	399
477	365	398
478	365	397
479	366	396
480	366	395
481	367	394
482	367	393
483	368	392
484	369	392
485	370	391
486	370	390
487	371	390
488	372	389
489	372	388
490	373	387
491	374	386
492	374	385
493	375	384
494	375	383
495	376	382
496	376	381
497	377	380
498	377	379
499	378	378
500	378	377
501	379	376
502	379	375
503	380	374
504	380	373
505	381	372
506	381	371
507	382	370
508	382	369
509	383	368
510	383	367
511	384	366
512	384	365
513	385	364
514	385	363
515	386	362
516	386	361
517	386	360
518	387	359
519	388	358
520	388	357
521	389	356
522	389	355
523	390	354
524	390	353
525	390	352
526	391	351
527	391	350
528	392	349
529	392	348
530	393	347
531	393	346
532	394	345
533	394	344
534	395	343
535	395	342
536	396	341
537	396	340
538	397	339
539	397	338
540	398	337
541	398	337
542	399	336
543	399	335
544	400	334
545	400	333
546	401	332
547	402	331
548	402	330
549	403	329
550	403	328
551	404	328
552	404	327
553	405	326
554	405	325
555	406	324
556	406	323
557	407	322
558	407	321
559	408	320
560	408	319
561	409	319
562	409	318
563	410	317
564	410	316
565	411	315
566	411	314
567	412	313
568	412	312
569	413	311
570	413	310
571	414	310
572	414	309
573	415	308
574	415	307
575	416	306
576	416	305
577	417	304
578	417	303
579	418	302
580	418	302
581	419	301
582	419	300
583	420	299
584	420	298
585	421	297
586	421	296
587	422	295
588	422	294
589	423	294
590	423	293
591	424	292
592	424	291
593	425	290
594	426	289
595	426	289
596	426	288
597	427	287
598	427	286
599	428	285
600	428	284
601	429	283
602	429	282
603	430	282
604	430	281
605	431	280
606	431	279
607	432	278
608	432	278
609	433	277
610	433	276
611	434	275
612	434	274
613	435	273
614	435	272
615	436	272
616	436	271
617	437	270
618	438	269
619	438	269
620	439	268
621	440	267
622	440	266
623	441	265
624	441	264
625	442	264
626	442	263
627	443	262
628	443	261
629	444	260
630	444	260
631	445	259
632	445	258
633	446	257
634	446	256
635	447	256
636	447	255
637	448	254
638	448	253
639	449	252
640	449	252
641	450	251
642	451	250
643	451	249
644	452	248
645	452	248
646	453	247
647	453	246
648	453	245
649	454	244
650	454	243
651	455	243
652	455	242
653	456	241
654	457	240
655	457	239
656	458	239
657	458	238
658	458	237
659	459	236
660	459	235
661	460	235
662	460	234
663	461	233
664	461	232
665	462	231
666	462	231
667	463	230
668	464	229
669	464	229
670	465	228
671	465	227
672	466	226
673	467	226
674	467	225
675	468	224
676	468	223
677	469	222
678	469	222
679	470	221
680	470	220
681	471	219
682	471	218
683	472	218
684	472	217
685	473	216
686	473	215
687	474	215
688	474	214
689	475	213
690	475	212
691	476	212
692	476	211
693	477	210
694	477	209
695	478	208
696	478	208
697	479	207
698	479	206
699	480	205
700	480	205
701	481	204
702	481	203
703	482	202
704	482	202
705	483	201
706	483	200
707	484	199
708	485	199
709	485	198
710	485	197
711	486	196
712	486	196
713	487	195
714	488	194
715	488	193
716	489	193
717	489	192
718	490	191
719	490	190
720	491	190
721	491	189
722	492	188
723	492	187
724	492	186
725	493	186
726	494	185
727	494	184
728	495	184
729	495	183
730	496	182
731	496	181
732	497	181
733	497	180
734	498	179
735	498	178
736	499	178
737	499	177
738	500	176
739	501	176
740	501	175
741	502	174
742	502	173
743	503	173
744	503	172
745	504	171
746	504	170
747	504	170
748	505	169
749	506	168
750	506	167
751	507	167
752	507	166
753	508	165
754	508	165
755	509	164
756	509	163
757	510	162
758	510	162
759	510	161
760	511	160
761	511	159
762	512	159
763	513	158
764	513	157
765	514	157
766	514	156
767	515	155
768	515	154
769	516	154
770	516	153
771	517	152
772	517	152
773	518	151
774	519	150
775	519	149
776	520	149
777	520	148
778	521	147
779	521	147
780	522	146
781	523	145
782	523	145
783	524	144
784	524	143
785	525	143
786	525	142
787	526	141
788	526	140
789	527	140
790	527	139
791	528	138
792	528	138
793	529	137
794	529	136
795	530	135
796	531	135
797	531	134
798	532	133
799	532	133
800	533	132
801	533	131
802	534	131
803	534	130
804	535	129
805	535	128
806	536	128
807	536	127
808	537	126
809	537	126
810	538	125
811	538	124
812	539	124
813	540	123
814	540	122
815	541	122
816	541	121
817	542	120
818	542	119
819	543	119
820	543	118
821	544	117
822	544	117
823	545	116
824	545	115
825	546	115
826	546	114
827	547	113
828	547	113
829	548	112
830	548	111
831	549	110
832	549	110
833	550	109
834	551	108
835	551	108
836	552	107
837	552	106
838	553	106
839	553	105
840	554	104
841	554	104
842	555	103
843	555	102
844	556	102
845	556	101
846	557	100
847	557	100
848	558	99
849	558	98
850	559	97
851	559	97
852	560	96
853	560	95
854	561	95
855	561	94
856	562	93
857	563	93
858	563	92
859	563	91
860	564	91
861	564	90
862	565	89
863	565	89
864	566	88
865	566	87
866	567	87
867	567	86
868	568	85
869	568	85
870	569	84
871	570	83
872	570	82
873	570	82
874	571	81
875	571	80
876	572	80
877	572	79
878	573	78
879	573	78
880	574	77
881	575	76
882	575	76
883	576	75
884	576	74
885	577	74
886	577	73
887	578	72
888	578	72
889	578	71
890	579	70
891	579	70
892	580	69
893	581	68
894	581	68
895	582	67
896	582	66
897	583	66
898	583	65
899	584	64
900	584	64
901	585	63
902	585	62
903	586	62
904	586	61
905	587	60
906	587	60
907	588	59
908	588	58
909	589	58
910	589	57
911	590	56
912	590	56
913	591	55
914	591	54
915	592	54
916	592	53
917	593	52
918	593	52
919	594	51
920	594	51
921	595	50
922	595	49
923	596	49
924	596	48
925	597	47
926	597	47
927	598	46
928	598	45
929	599	45
930	600	44
931	600	43
932	601	43
933	601	42
934	602	41
935	602	41
936	603	40
937	603	39
938	604	39
939	604	38
940	605	37
941	605	37
942	606	36
943	606	36
944	607	35
945	607	34
946	608	34
947	608	33
948	609	32
949	609	32
950	610	31
951	611	30
952	611	30
953	612	29
954	612	28
955	613	28
956	613	27
957	614	26
958	614	26
959	615	25
960	615	24
961	616	24
962	616	23
963	617	23
964	617	22
965	618	21
966	618	21
967	619	20
968	619	19
969	620	19
970	620	18
971	621	17
972	621	17
973	622	16
974	622	15
975	623	15
976	623	14
977	624	14
978	624	13
979	625	12
980	625	12
981	626	11
982	627	10
983	627	10
984	627	9
985	628	8
986	628	8
987	629	7
988	630	7
989	630	6
990	631	5
991	631	5
992	632	4
993	632	3
994	633	3
995	633	2
996	634	1
997	634	1
998	635	0
999	635	0
